Parameter,Model,Replicate,ESS
Posterior,Constant,1,88
Posterior,Constant,2,57
Posterior,Constant,3,39
Posterior,Skyline,1,14
Posterior,Skyline,2,17
Posterior,Skyline,3,70
Posterior,Exponential,1,105
Posterior,Exponential,2,54
Posterior,Exponential,3,86
Likelihood,Constant,1,17195
Likelihood,Constant,2,42
Likelihood,Constant,3,21
Likelihood,Skyline,1,13
Likelihood,Skyline,2,16
Likelihood,Skyline,3,11158
Likelihood,Exponential,1,14583
Likelihood,Exponential,2,9937
Likelihood,Exponential,3,11538
Tree_height,Constant,1,86
Tree_height,Constant,2,139
Tree_height,Constant,3,144
Tree_height,Skyline,1,491
Tree_height,Skyline,2,1198
Tree_height,Skyline,3,83
Tree_height,Exponential,1,139
Tree_height,Exponential,2,59
Tree_height,Exponential,3,107
ucldMean,Constant,1,71
ucldMean,Constant,2,97
ucldMean,Constant,3,98
ucldMean,Skyline,1,155
ucldMean,Skyline,2,161
ucldMean,Skyline,3,48
ucldMean,Exponential,1,96
ucldMean,Exponential,2,45
ucldMean,Exponential,3,69
popsize,Constant,1,88
popsize,Constant,2,112
popsize,Constant,3,126
popsize,Skyline,1,412
popsize,Skyline,2,234
popsize,Skyline,3,375
popsize,Exponential,1,159
popsize,Exponential,2,84
popsize,Exponential,3,171